t;ax_g;ay_g;az_g;x_g;y_g;z_g;tx_g;ty_g;tz_g
0.000100475503;-276.272186;3.11208296;-9076.29297;0;0;0;0;0;0
0.000200437295;-272.011108;2.77173305;-8579.94922;-1.36966099469816e-06;1.46983017302686e-08;-4.41068814337921e-05;-3.16778455425132e-10;-6.92949926493037e-09;-2.43843241263285e-11
0.000300313288;-273.828308;2.260957;-8254.82422;-5.46784801789139e-06;5.66202135915938e-08;-0.000174227545678289;-1.20872830071406e-09;-2.00810658273189e-08;-5.96547057978415e-11
0.000400177989;-264.545502;1.45241201;-8127.22705;-1.22689289598036e-05;1.20344825582948e-07;-0.000387155748112621;-2.83388538663306e-09;-3.69314211343947e-08;-1.06853889863147e-10
0.000500031514;-226.147903;0.88354212;-8094.96387;-2.16345359105605e-05;1.99142378625002e-07;-0.00068133668692793;-5.30428693976793e-09;-5.67246594526203e-08;-2.34331676875372e-10
0.000600472675;-174.589401;1.19581795;-8115.09912;-3.32963021101876e-05;2.89505078581597e-07;-0.00105880710980774;-8.72199522758499e-09;-8.12480731987225e-08;-4.78958935692855e-10
0.000700160512;-158.679596;2.65620089;-8170.35985999999;-4.67017040076603e-05;3.93965097001281e-07;-0.00151448318137431;-1.29526206511788e-08;-1.11012486952389e-07;-7.55568449971693e-10
0.000800598413;-198.948593;4.24653387;-8230.26073999999;-6.19440964805503e-05;5.26261413547007e-07;-0.00205571353139875;-1.7579870223798e-08;-1.41180108462886e-07;-9.87383893910341e-10
0.000900287472;-276.652495999999;4.82483006;-8268.91405999998;-7.91496585990533e-05;6.97387466388403e-07;-0.00267495346291325;-2.20696560386914e-08;-1.60116095296495e-07;-1.19052241697452e-09
0.00100072694;-349.322387999999;4.88860703;-8299.66796999998;-9.92539724137642e-05;9.17006416685496e-07;-0.00338194143180494;-2.60774213342055e-08;-1.5213056897572e-07;-1.40676135126053e-09
0.00110041804;-387.673888999999;5.89381504;-8368.00390999998;-0.000122606574921349;1.18609374789558e-06;-0.00416654879997425;-2.95431381534113e-08;-1.05134096699463e-07;-1.67187002425891e-09
0.00120010995;-378.128112999998;7.0665102;-8476.29589999996;-0.000149693233795541;1.51417473433154e-06;-0.00503442669596674;-3.2455385039574e-08;-1.71305667144121e-08;-2.08547644791744e-09
0.00130055402;-333.057494999997;5.9273839;-8580.18358999991;-0.0001806951293568;1.90994935513834e-06;-0.0059940407848218;-3.47750898892605e-08;1.04036342841768e-07;-2.77321761658654e-09
0.00140024896;-288.541686999994;4.28316116;-8648.54491999983;-0.000214790749832916;2.36067252837735e-06;-0.00703200722754799;-3.65160238728342e-08;2.44960134437474e-07;-3.65190452624436e-09
0.00150069594;-263.795409999992;3.12432599;-8679.11132999974;-0.000252092964330914;2.85904257156978e-06;-0.00816464310211105;-3.78459332760724e-08;3.95085968617824e-07;-4.36848661642079e-09
0.00160039403;-264.125396999989;2.51852012;-8689.06444999964;-0.000291811741484239;3.3862643748428e-06;-0.00937537457793233;-3.90717677154061e-08;5.48778730517138e-07;-4.54628548202087e-09
0.00170009502;-274.782012999985;2.00130796;-8712.87890999953;-0.000334182780583065;3.93875608153317e-06;-0.0106725462602207;-4.07046750115358e-08;7.04038743480012e-07;-4.06618464928705e-09
0.001800547;-273.180785999982;2.613832;-8770.71679999942;-0.000379604605886359;4.51836847488772e-06;-0.0120671646017271;-4.3355511761254e-08;8.61961567715171e-07;-3.1315011400366e-09
0.00190025102;-253.31820699998;4.24022007;-8850.3935499993;-0.000427368715820651;5.12225464753336e-06;-0.0135389676681872;-4.73516908171879e-08;1.02099253936948e-06;-2.13630940813604e-09
0.00200070697;-229.562697999979;5.49675608;-8925.82128999919;-0.000478029615759589;5.7724223363834e-06;-0.0151108398834126;-5.26405626741549e-08;1.17996452900715e-06;-1.50603779292265e-09
0.00210041506;-220.834899999977;5.13306904;-8972.20507999906;-0.000530641959022528;6.46855143974707e-06;-0.0167600071130073;-5.87874170277158e-08;1.33968935922928e-06;-1.51386994787571e-09
0.00220012502;-230.776992999973;5.08494377;-8990.60253999895;-0.000585497229777479;7.21651080125901e-06;-0.0184983372233527;-6.51771526983671e-08;1.50331180220833e-06;-2.1663214468159e-09
0.00230058609;-252.491698999967;4.8069191;-9002.93847999882;-0.000643116006527946;8.02065110720441e-06;-0.0203401449309351;-7.13855175521501e-08;1.6779622526845e-06;-3.24861276455917e-09
0.0024003;-270.46090699996;3.86985993;-9042.07421999867;-0.00070281643613526;8.86515138443458e-06;-0.0222581712938702;-7.7327707036383e-08;1.86923498455625e-06;-4.50520364686603e-09
0.00250001391;-277.993407999953;1.96904397;-9115.24901999847;-0.000765180079027763;9.74573352642131e-06;-0.0242661863811085;-8.33295305501333e-08;2.0818446289753e-06;-5.72744687376236e-09
0.00260048104;-280.449187999946;0.787487388;-9204.59081999822;-0.00083079758505975;1.06545467724569e-05;-0.02638107300203;-8.97742375069651e-08;2.3215011757311e-06;-6.66986201504807e-09
0.00270019891;-286.933593999935;-1.27424705;-9285.47167999791;-0.00089873486666023;1.15622762492626e-05;-0.0285720357200878;-9.65788483682949e-08;2.58966560187572e-06;-7.06991663086287e-09
0.00280066906;-289.030486999923;-2.78567696;-9338.60644999752;-0.000970059259457221;1.24653890695351e-05;-0.0308728377308598;-1.03300029626522e-07;2.88766680234925e-06;-6.85150055284641e-09
